Horizon_N,p_0.9,p_0.95,p_0.98,p_0.99
1,90.0,95.0,98.0,99.0
2,81.0,90.25,96.03999999999999,98.00999999999999
3,72.9,85.73749999999998,94.11919999999999,97.0299
4,65.61,81.45062499999999,92.23681599999999,96.059601
5,59.04900000000001,77.37809374999998,90.39207968,95.09900499
6,53.14410000000001,73.50918906249998,88.58423808639999,94.1480149401
7,47.82969000000001,69.83372960937497,86.812553324672,93.206534790699
8,43.04672100000001,66.34204312890623,85.07630225817854,92.27446944279201
9,38.74204890000001,63.02494097246091,83.37477621301498,91.35172474836408
10,34.86784401000001,59.87369392383787,81.70728068875466,90.43820750088044
11,31.381059609000005,56.880009227645964,80.07313507497959,89.53382542587164
12,28.242953648100013,54.03600876626366,78.47167237347999,88.63848717161292
13,25.418658283290007,51.33420832795048,76.90223892601038,87.75210229989679
14,22.87679245496101,48.76749791155295,75.36419414749017,86.87458127689783
15,20.58911320946491,46.329123015975306,73.85691026454037,86.00583546412885
16,18.530201888518416,44.012666865176534,72.37977205924956,85.14577710948755
17,16.677181699666576,41.812033521917705,70.93217661806457,84.29431933839268
18,15.009463529699918,39.72143184582182,69.51353308570327,83.45137614500875
19,13.508517176729928,37.73536025353073,68.1232624239892,82.61686238355867
20,12.157665459056934,35.84859224085419,66.76079717550942,81.79069375972307
21,10.941898913151242,34.05616262881148,65.42558123199923,80.97278682212584
22,9.847709021836119,32.3533544973709,64.11706960735924,80.16305895390458
23,8.862938119652506,30.73568677250236,62.83472821521207,79.36142836436554
24,7.9766443076872555,29.198902433877237,61.57803365090783,78.56781408072187
25,7.17897987691853,27.738957312183377,60.34647297788966,77.78213593991467
26,6.461081889226677,26.352009446574204,59.13954351833187,77.00431458051551
27,5.81497370030401,25.034408974245494,57.956752647965224,76.23427143471035
28,5.233476330273609,23.782688525533217,56.797617595005924,75.47192872036325
29,4.710128697246248,22.593554099256554,55.66166524310581,74.71720943315961
30,4.239115827521624,21.463876394293727,54.54843193824369,73.97003733882802
31,3.8152042447694616,20.39068257457904,53.45746329947881,73.23033696543975
32,3.433683820292515,19.371148445850086,52.38831403348924,72.49803359578534
33,3.0903154382632634,18.402591023557584,51.340547752819454,71.77305325982749
34,2.7812838944369376,17.4824614723797,50.31373679776306,71.05532272722921
35,2.5031555049932437,16.608338398760715,49.3074620618078,70.34476949995691
36,2.2528399544939197,15.777921478822678,48.32131282057164,69.64132180495734
37,2.0275559590445273,14.989025404881545,47.35488656416021,68.94490858690777
38,1.824800363140075,14.239574134637467,46.407788832877,68.2554595010387
39,1.6423203268260675,13.527595427905592,45.47963305621946,67.57290490602831
40,1.4780882941434608,12.851215656510313,44.57004039509507,66.89717585696803
41,1.3302794647291145,12.208654873684797,43.67863958719317,66.22820409839835
