Velocity_mps,Velocity_kmph,Reaction_Drift_m,Handshake_Drift_m,Blend_Drift_m,Braking_Distance_m,Total_Distance_m
5.0,18.0,5.0,0.1,0.3699375,1.9000520833333336,7.369989583333333
5.303030303030303,19.09090909090909,5.303030303030303,0.10606060606060606,0.3926647727272727,2.1488659798745027,7.950621661692685
5.606060606060606,20.181818181818183,5.606060606060606,0.11212121212121214,0.41539204545454544,2.412984437174779,8.546558300811142
5.909090909090909,21.272727272727273,5.909090909090909,0.11818181818181818,0.43811931818181815,2.6924074552341604,9.157799500688705
6.212121212121212,22.363636363636363,6.212121212121212,0.12424242424242424,0.46084659090909086,2.9871350340526477,9.784345261325374
6.515151515151516,23.454545454545457,6.515151515151516,0.1303030303030303,0.4835738636363636,3.2971671736302426,10.426195582721153
6.818181818181818,24.545454545454547,6.818181818181818,0.13636363636363638,0.5063011363636364,3.622503873966943,11.083350464876034
7.121212121212121,25.636363636363637,7.121212121212121,0.14242424242424243,0.5290284090909091,3.963145135062749,11.755809907790022
7.424242424242424,26.727272727272727,7.424242424242424,0.14848484848484847,0.5517556818181818,4.319090956917662,12.443573911463115
7.7272727272727275,27.81818181818182,7.7272727272727275,0.15454545454545454,0.5744829545454546,4.690341339531681,13.146642475895318
8.030303030303031,28.909090909090914,8.030303030303031,0.1606060606060606,0.5972102272727273,5.076896282904808,13.865015601086625
8.333333333333334,30.000000000000004,8.333333333333334,0.16666666666666669,0.6199375,5.478755787037038,14.598693287037039
8.636363636363637,31.090909090909093,8.636363636363637,0.17272727272727273,0.6426647727272727,5.895919851928376,15.347675533746557
8.93939393939394,32.18181818181818,8.93939393939394,0.1787878787878788,0.6653920454545454,6.3283884775788195,16.111962341215182
9.242424242424242,33.27272727272727,9.242424242424242,0.18484848484848485,0.6881193181818182,6.776161663988368,16.891553709442913
9.545454545454547,34.36363636363637,9.545454545454547,0.19090909090909094,0.710846590909091,7.239239411157027,17.686449638429757
9.848484848484848,35.45454545454545,9.848484848484848,0.19696969696969696,0.7335738636363636,7.717621719084787,18.496650128175695
10.151515151515152,36.54545454545455,10.151515151515152,0.20303030303030306,0.7563011363636364,8.211308587771658,19.32215517868075
10.454545454545455,37.63636363636364,10.454545454545455,0.2090909090909091,0.7790284090909091,8.720300017217632,20.162964789944905
