Horizon,Unverified_95,Unverified_98,Unverified_99,Verified_98_v70,Verified_98_v90
1,0.95,0.98,0.99,0.994,0.998
2,0.9025,0.9603999999999999,0.9801,0.988036,0.996004
3,0.8573749999999999,0.9411919999999999,0.970299,0.982107784,0.994011992
4,0.8145062499999999,0.9223681599999999,0.96059601,0.976215137296,0.992023968016
5,0.7737809374999998,0.9039207967999999,0.9509900498999999,0.970357846472224,0.990039920079968
6,0.7350918906249998,0.8858423808639999,0.941480149401,0.9645356993933907,0.9880598402398081
7,0.6983372960937497,0.8681255332467199,0.9320653479069899,0.9587484851970303,0.9860837205593285
8,0.6634204312890623,0.8507630225817855,0.9227446944279201,0.9529959942858481,0.9841115531182097
9,0.6302494097246091,0.8337477621301498,0.9135172474836408,0.947278018320133,0.9821433300119734
10,0.5987369392383787,0.8170728068875467,0.9043820750088044,0.9415943502102122,0.9801790433519494
11,0.5688000922764597,0.8007313507497958,0.8953382542587164,0.9359447841089509,0.9782186852652455
12,0.5403600876626367,0.7847167237347998,0.8863848717161292,0.9303291154042972,0.976262247894715
13,0.5133420832795048,0.7690223892601038,0.8775210229989678,0.9247471407118714,0.9743097233989256
14,0.48767497911552954,0.7536419414749017,0.8687458127689782,0.9191986578676001,0.9723611039521277
15,0.46329123015975304,0.7385691026454038,0.8600583546412884,0.9136834659203946,0.9704163817442235
16,0.44012666865176536,0.7237977205924956,0.8514577710948755,0.9082013651248722,0.9684755489807351
17,0.4181203352191771,0.7093217661806457,0.8429431933839268,0.9027521569341229,0.9665385978827735
18,0.3972143184582182,0.6951353308570327,0.8345137614500875,0.8973356439925182,0.964605520687008
19,0.37735360253530725,0.6812326242398921,0.8261686238355866,0.8919516301285632,0.962676309645634
20,0.3584859224085419,0.6676079717550942,0.8179069375972308,0.8865999203477918,0.9607509570263427
21,0.3405616262881148,0.6542558123199923,0.8097278682212584,0.881280320825705,0.95882945511229
22,0.323533544973709,0.6411706960735924,0.8016305895390459,0.8759926389007507,0.9569117962020655
23,0.3073568677250236,0.6283472821521207,0.7936142836436554,0.8707366830673462,0.9549979726096613
24,0.2919890243387724,0.6157803365090783,0.7856781408072188,0.8655122629689421,0.953087976664442
25,0.27738957312183377,0.6034647297788966,0.7778213593991467,0.8603191893911285,0.9511818007111131
